Disease ID,Disease Name,Disease Class,Definitions,# Disease(DOID),main_system_affected
C0011849,Diabetes Mellitus,acquired metabolic disease,A heterogeneous group of disorders characterized by HYPERGLYCEMIA and GLUCOSE INTOLERANCE.,DOID:9351,endocrine system
C0016059,Fibrosis,Tissue disorder,"Any pathological condition where fibrous connective tissue invades any organ, usually as a consequence of inflammation or other injury.",,Multiple systems
C0020443,Hypercholesterolemia,metabolic,A condition with abnormally high levels of CHOLESTEROL in the blood. It is defined as a cholesterol value exceeding the 95th percentile for the population.,DOID:2487,cardiovascular
C0025958,Microcephaly,congenital nervous system abnormality,"A congenital abnormality in which the CEREBRUM is underdeveloped, the fontanels close prematurely, and, as a result, the head is small. (Desk Reference for Neuroscience, 2nd ed.)",DOID:10907,nervous
C0040411,Tongue Neoplasms,Cancer,Tumors or cancer of the TONGUE.,,Digestive System
C0027720,Nephrosis,urinary system disease,Pathological processes of the KIDNEY without inflammatory or neoplastic components. Nephrosis may be a primary disorder or secondary complication of other diseases. It is characterized by the NEPHROTIC SYNDROME indicating the presence of PROTEINURIA and HYPOALBUMINEMIA with accompanying EDEMA.,DOID:2527,urinary system
C0007273,Carotid Artery Diseases,cardiovascular system disease,"Pathological conditions involving the CAROTID ARTERIES, including the common, internal, and external carotid arteries. ATHEROSCLEROSIS and TRAUMA are relatively frequent causes of carotid artery pathology.",,Cardiovascular system
C0018273,Growth Disorders,Developmental,"Deviations from the average values for a specific age and sex in any or all of the following: height, weight, skeletal proportions, osseous development, or maturation of features. Included here are both acceleration and retardation of growth.",,Musculoskeletal system
C0014553,Absence Epilepsy,nervous system disease,"A type of generalized epilepsy characterized by brief, sudden lapses of consciousness, often appearing as staring spells, without loss of postural tone.",,Nervous system
C0014556,"Epilepsy, Temporal Lobe",nervous system disease,"A localization-related (focal) form of epilepsy characterized by recurrent seizures that arise from foci within the temporal lobe, most commonly from its mesial aspect. A wide variety of psychic phenomena may be associated, including illusions, hallucinations, dyscognitive states, and affective experiences. The majority of complex partial seizures (see EPILEPSY, COMPLEX PARTIAL) originate from the temporal lobes. Temporal lobe seizures may be classified by etiology as cryptogenic, familial, or symptomatic (i.e., related to an identified disease process or lesion). (From Adams et al., Principles of Neurology, 6th ed, p321)",,nervous system
C0025261,Memory Disorders,Neurological,"Disturbances in registering an impression, in the retention of an acquired impression, or in the recall of an impression. Memory impairments are associated with DEMENTIA; CRANIOCEREBRAL TRAUMA; ENCEPHALITIS; ALCOHOLISM (see also ALCOHOL AMNESTIC DISORDER); SCHIZOPHRENIA; and other conditions.",,Nervous
C0007370,Catalepsy,Neuropsychiatric,"A condition characterized by inactivity, decreased responsiveness to stimuli, and a tendency to maintain an immobile posture. The limbs tend to remain in whatever position they are placed (waxy flexibility). Catalepsy may be associated with PSYCHOTIC DISORDERS (e.g., SCHIZOPHRENIA, CATATONIC), nervous system drug toxicity, and other conditions.",,Nervous system
C1333990,Hereditary Nonpolyposis Colorectal Cancer,monogenic disease,"A genetic disorder caused by mutations in mismatch repair genes, significantly increasing the risk of developing various cancers, particularly colorectal cancer, but also cancers of the uterus, ovaries, stomach, small intestine, urinary tract, brain, and skin.",,Digestive system
C0023487,Acute Promyelocytic Leukemia,cancer,"An acute myeloid leukemia characterized by accumulation of promyelocytes in the bone marrow and by a translocation between chromosomes 15 and 17. [url:http\://en.wikipedia.org/wiki/Acute_promyelocytic_leukemia, url:http\://ghr.nlm.nih.gov/condition/acute-promyelocytic-leukemia]",DOID:0060318,Hematopoietic
C0023485,Precursor B-Cell Lymphoblastic Leukemia-Lymphoma,cancer,"A leukemia/lymphoma found predominately in children and adolescents and characterized by a high number of lymphoblasts and solid tumor lesions. Frequent sites involve LYMPH NODES, skin, and bones. It most commonly presents as leukemia.",,hematopoietic
C0018099,Gout,musculoskeletal system disease,"Hereditary metabolic disorder characterized by recurrent acute arthritis, hyperuricemia and deposition of sodium urate in and around the joints, sometimes with formation of uric acid calculi.",DOID:13189,musculoskeletal system
C1956346,Coronary Artery Disease,Cardiovascular,"Pathological processes of CORONARY ARTERIES that may derive from a congenital abnormality, atherosclerotic, or non-atherosclerotic cause.",DOID:3393,Cardiovascular
C1861172,Venous Thromboembolism,Vascular,Obstruction of a vein or VEINS (embolism) by a blood clot (THROMBUS) in the blood stream.,,Cardiovascular
C0032927,Precancerous Conditions,Cancer,"Pathological processes that tend eventually to become malignant. (From Dorland, 27th ed)",,Multiple systems
C0010346,Crohn Disease,Inflammatory,"A chronic transmural inflammation that may involve any part of the DIGESTIVE TRACT from MOUTH to ANUS, mostly found in the ILEUM, the CECUM, and the COLON. In Crohn disease, the inflammation, extending through the intestinal wall from the MUCOSA to the serosa, is characteristically asymmetric and segmental. Epithelioid GRANULOMAS may be seen in some patients.",,Digestive
C0007873,Uterine Cervical Neoplasm,cancer,"A malignant tumor arising from the cells of the cervix, the lower, narrow part of the uterus that opens into the vagina.",,Reproductive system
C0013386,"Dyskinesia, Drug-Induced",Drug-induced,"Abnormal movements, including HYPERKINESIS; HYPOKINESIA; TREMOR; and DYSTONIA, associated with the use of certain medications or drugs. Muscles of the face, trunk, neck, and extremities are most commonly affected. Tardive dyskinesia refers to abnormal hyperkinetic movements of the muscles of the face, tongue, and neck associated with the use of neuroleptic agents (see ANTIPSYCHOTIC AGENTS). (Adams et al., Principles of Neurology, 6th ed, p1199)",,Nervous
C0022336,Creutzfeldt-Jakob Disease,nervous system disease,"A rare, fatal degenerative brain disorder caused by prions, characterized by rapidly progressive dementia and neurological dysfunction.",DOID:11949,nervous system
C0087012,"Ataxia, Spinocerebellar",nervous system disease,"A group of hereditary neurological disorders characterized by progressive degeneration of the cerebellum and sometimes other parts of the brain, leading to ataxia (lack of coordination), dysarthria, and other neurological symptoms.",,Nervous system
C0917796,"Optic Atrophy, Hereditary, Leber",nervous system disease,"A maternally linked genetic disorder that presents in mid-life as acute or subacute central vision loss leading to central scotoma and blindness. The disease has been associated with missense mutations in the mtDNA, in genes for Complex I, III, and IV polypeptides, that can act autonomously or in association with each other to cause the disease. (from Online Mendelian Inheritance in Man, http://www.ncbi.nlm.nih.gov/Omim/, MIM#535000 (April 17, 2001))",,nervous system
C0023891,"Liver Cirrhosis, Alcoholic",gastrointestinal system disease,FIBROSIS of the hepatic parenchyma due to chronic excess ALCOHOL DRINKING.,,Gastrointestinal system
C0242488,Acute Lung Injury,Injury,"A condition of lung damage that is characterized by bilateral pulmonary infiltrates (PULMONARY EDEMA) rich in NEUTROPHILS, and in the absence of clinical HEART FAILURE. This can represent a spectrum of pulmonary lesions, endothelial and epithelial, due to numerous factors (physical, chemical, or biological).",,Respiratory
C0023893,"Liver Cirrhosis, Experimental",Metabolic,Experimentally induced chronic injuries to the parenchymal cells in the liver to achieve a model for LIVER CIRRHOSIS.,,Digestive
C0263454,Chloracne,Toxic,"ACNE-like skin eruptions caused by exposure to CHLORINE-containing compounds. Exposure can be by inhalation, ingestion, or through the skin. Chloracne is often seen in people who have occupational contact with chlorinated pesticides, wood preservatives, and sealants.",,Integumentary
C0023895,Liver Diseases,gastrointestinal system disease,Pathological processes of the LIVER.,,gastrointestinal system
C0022661,"Kidney Failure, Chronic",urinary system disease,"The end-stage of CHRONIC RENAL INSUFFICIENCY. It is characterized by the severe irreversible kidney damage (as measured by the level of PROTEINURIA) and the reduction in GLOMERULAR FILTRATION RATE to less than 15 ml per min (Kidney Foundation: Kidney Disease Outcome Quality Initiative, 2002). These patients generally require HEMODIALYSIS or KIDNEY TRANSPLANTATION.",,urinary system
C1262477,Weight Decreased,Symptom,A decrease in body weight.,,Systemic
C0023264,Leigh Disease,inherited metabolic disorder,"A group of metabolic disorders primarily of infancy characterized by the subacute onset of psychomotor retardation, hypotonia, ataxia, weakness, vision loss, eye movement abnormalities, seizures, dysphagia, and lactic acidosis. Pathological features include spongy degeneration of the neuropile of the basal ganglia, thalamus, brain stem, and spinal cord. Patterns of inheritance include X-linked recessive, autosomal recessive, and mitochondrial. Leigh disease has been associated with mutations in genes for the PYRUVATE DEHYDROGENASE COMPLEX; CYTOCHROME-C OXIDASE; ATP synthase subunit 6; and subunits of mitochondrial complex I. (From Menkes, Textbook of Child Neurology, 5th ed, p850).",DOID:3652,Nervous system
C0007570,Celiac Disease,immune system disease,"A malabsorption syndrome that is precipitated by the ingestion of foods containing GLUTEN, such as wheat, rye, and barley. It is characterized by INFLAMMATION of the SMALL INTESTINE, loss of MICROVILLI structure, failed INTESTINAL ABSORPTION, and MALNUTRITION.",DOID:10608,digestive system
C0017601,Glaucoma,nervous system disease,"An ocular disease, occurring in many forms, having as its primary characteristics an unstable or a sustained increase in the intraocular pressure which the eye cannot withstand without damage to its structure or impairment of its function. The consequences of the increased pressure may be manifested in a variety of symptoms, depending upon type and severity, such as excavation of the optic disk, hardness of the eyeball, corneal anesthesia, reduced visual acuity, seeing of colored halos around lights, disturbed dark adaptation, visual field defects, and headaches. (Dictionary of Visual Science, 4th ed)",DOID:1686,nervous system
C0039231,Tachycardia,Arrhythmia,"Abnormally rapid heartbeat, usually with a HEART RATE above 100 beats per minute for adults. Tachycardia accompanied by disturbance in the cardiac depolarization (cardiac arrhythmia) is called tachyarrhythmia.",,Cardiovascular
C0346153,"Breast Cancer, Familial",Cancer,"Breast cancer that occurs in multiple family members, often due to inherited genetic mutations that significantly increase the risk of developing the disease.",,Reproductive system
C0022116,Ischemia,cardiovascular system disease,"A hypoperfusion of the BLOOD through an organ or tissue caused by a PATHOLOGIC CONSTRICTION or obstruction of its BLOOD VESSELS, or an absence of BLOOD CIRCULATION.",DOID:326,cardiovascular system
C0032580,Adenomatous Polyposis Coli,monogenic disease,"A polyposis syndrome due to an autosomal dominant mutation of the APC genes (GENES, APC) on CHROMOSOME 5. The syndrome is characterized by the development of hundreds of ADENOMATOUS POLYPS in the COLON and RECTUM of affected individuals by early adulthood.",,digestive system
C0040128,Thyroid Diseases,endocrine system disease,Pathological processes involving the THYROID GLAND.,,endocrine system
C0030319,Panic Disorder,cognitive disorder,"A type of anxiety disorder characterized by unexpected panic attacks that last minutes or, rarely, hours. Panic attacks begin with intense apprehension, fear or terror and, often, a feeling of impending doom. Symptoms experienced during a panic attack include dyspnea or sensations of being smothered; dizziness, loss of balance or faintness; choking sensations; palpitations or accelerated heart rate; shakiness; sweating; nausea or other form of abdominal distress; depersonalization or derealization; paresthesias; hot flashes or chills; chest discomfort or pain; fear of dying and fear of not being in control of oneself or going crazy. Agoraphobia may also develop. Similar to other anxiety disorders, it may be inherited as an autosomal dominant trait.",DOID:594,nervous system
C0009404,Colorectal Neoplasms,Cancer,Tumors or cancer of the COLON or the RECTUM or both. Risk factors for colorectal cancer include chronic ULCERATIVE COLITIS; FAMILIAL POLYPOSIS COLI; exposure to ASBESTOS; and irradiation of the CERVIX UTERI.,,Digestive system
C0001624,Adrenal Gland Neoplasms,cancer,Tumors or cancer of the ADRENAL GLANDS.,,endocrine system
C0038644,Sudden Infant Death Syndrome,sudden infant death syndrome,"A syndrome that is characterized by the sudden death of an infant that is not predicted by medical history and remains unexplained after a thorough forensic autopsy and detailed death scene investigation. [url:http\://en.wikipedia.org/wiki/Sudden_infant_death_syndrome, url:http\://omim.org/entry/272120, url:http\://www.nlm.nih.gov/medlineplus/suddeninfantdeathsyndrome.html]",DOID:9007,nervous
C0027819,Neuroblastoma,cancer,"A common neoplasm of early childhood arising from neural crest cells in the sympathetic nervous system, and characterized by diverse clinical behavior, ranging from spontaneous remission to rapid metastatic progression and death. This tumor is the most common intraabdominal malignancy of childhood, but it may also arise from thorax, neck, or rarely occur in the central nervous system. Histologic features include uniform round cells with hyperchromatic nuclei arranged in nests and separated by fibrovascular septa. Neuroblastomas may be associated with the opsoclonus-myoclonus syndrome. (From DeVita et al., Cancer: Principles and Practice of Oncology, 5th ed, pp2099-2101; Curr Opin Oncol 1998 Jan;10(1):43-51)",DOID:769,Nervous system
C2931456,"Prostate Cancer, Familial",cancer,"Prostate cancer that occurs more frequently within families than expected by chance, suggesting a shared genetic predisposition or environmental factors.",,male reproductive system
C0024667,Animal Mammary Neoplasms,Cancer,Abnormal growths or tumors that develop in the mammary glands of animals. These can be benign (non-cancerous) or malignant (cancerous).,,Reproductive system
C0029422,Osteochondrodysplasias,musculoskeletal system disease,Abnormal development of cartilage and bone.,,musculoskeletal system
C0041755,Adverse Reaction To Drug,Drug-induced condition,An unwanted or harmful reaction experienced following the administration of a drug or combination of drugs under normal conditions of use.,,Multiple systems
C0015625,Fanconi Anemia,immune system disease,"Congenital disorder affecting all bone marrow elements, resulting in ANEMIA; LEUKOPENIA; and THROMBOPENIA, and associated with cardiac, renal, and limb malformations as well as dermal pigmentary changes. Spontaneous CHROMOSOME BREAKAGE is a feature of this disease along with predisposition to LEUKEMIA. There are at least 7 complementation groups in Fanconi anemia: FANCA, FANCB, FANCC, FANCD1, FANCD2, FANCE, FANCF, FANCG, and FANCL. (from Online Mendelian Inheritance in Man, http://www.ncbi.nlm.nih.gov/entrez/dispomim.cgi?id=227650, August 20, 2004)",,Hematopoietic system
C0751778,"Myoclonic Epilepsies, Progressive",nervous system disease,"A heterogeneous group of primarily familial disorders characterized by myoclonic seizures, tonic-clonic seizures, ataxia, progressive intellectual deterioration, and neuronal degeneration. These include LAFORA DISEASE; MERRF SYNDROME; NEURONAL CEROID-LIPOFUSCINOSIS; sialidosis (see MUCOLIPIDOSES), and UNVERRICHT-LUNDBORG SYNDROME.",,nervous system
C0206762,"Limb Deformities, Congenital",Congenital,Congenital structural deformities of the upper and lower extremities collectively or unspecified.,,Musculoskeletal
C0429087,Electrocardiogram: P-R Interval,Diagnostic Finding,"The P-R interval is a measurement on an electrocardiogram (ECG) representing the time from the onset of atrial depolarization (P wave) to the onset of ventricular depolarization (QRS complex). It reflects the time taken for the electrical impulse to travel from the sinoatrial node through the atria, atrioventricular node, and His-Purkinje system. Variations in the P-R interval can indicate abnormalities in cardiac conduction.",,Cardiovascular
C0024668,"Mammary Neoplasms, Experimental",cancer,Experimentally induced mammary neoplasms in animals to provide a model for studying human BREAST NEOPLASMS.,,Reproductive system
C0018824,Heart Valve Disease,cardiovascular system disease,A heart disease involving one or more of the four valves of the heart (the aortic and mitral valves on the left and the pulmonary and tricuspid valves on the right). [url:http\://en.wikipedia.org/wiki/Heart_valve_disease],DOID:4079,cardiovascular system
C0079744,Diffuse Large B-Cell Lymphoma,cancer,A B-cell lymphoma that is a cancer of B cells presenting as an aggressive tumour which can arise in virtually any part of the body. [url:http\://en.wikipedia.org/wiki/Diffuse_large_B-cell_lymphoma],DOID:0050745,lymphatic system
C0019158,Hepatitis,inflammatory,INFLAMMATION of the LIVER.,DOID:2237,digestive
C0271650,Impaired Glucose Tolerance,acquired metabolic disease,"A pre-diabetic state characterized by blood glucose levels that are higher than normal but not high enough to be diagnosed as type 2 diabetes, typically identified by abnormal glucose response during an oral glucose tolerance test.",,Metabolic system
