,Disease ID,Disease Name,Disease Class,Definitions,Main Symptom,Risk Factors,Disease Class GPT,Main System Affected
30,C0917796,"Optic Atrophy, Hereditary, Leber",nervous system disease,"A maternally linked genetic disorder that presents in mid-life as acute or subacute central vision loss leading to central scotoma and blindness. The disease has been associated with missense mutations in the mtDNA, in genes for Complex I, III, and IV polypeptides, that can act autonomously or in association with each other to cause the disease. (from Online Mendelian Inheritance in Man, http://www.ncbi.nlm.nih.gov/Omim/, MIM#535000 (April 17, 2001))","acute or subacute central vision loss, central scotoma and blindness","maternally linked genetic disorder, missense mutations in mtDNA",Hereditary optic atrophy,Visual system
31,C0023891,"Liver Cirrhosis, Alcoholic",gastrointestinal system disease,FIBROSIS of the hepatic parenchyma due to chronic excess ALCOHOL DRINKING.,Fibrosis of the hepatic parenchyma,Chronic excess alcohol drinking,Liver cirrhosis,Hepatic system
32,C0023895,Liver Diseases,gastrointestinal system disease,Pathological processes of the LIVER.,"Jaundice, abdominal pain, fatigue","Alcohol abuse, obesity, viral hepatitis",Hepatobiliary disease,Digestive system
33,C0022661,"Kidney Failure, Chronic",urinary system disease,"The end-stage of CHRONIC RENAL INSUFFICIENCY. It is characterized by the severe irreversible kidney damage (as measured by the level of PROTEINURIA) and the reduction in GLOMERULAR FILTRATION RATE to less than 15 ml per min (Kidney Foundation: Kidney Disease Outcome Quality Initiative, 2002). These patients generally require HEMODIALYSIS or KIDNEY TRANSPLANTATION.","severe irreversible kidney damage, reduction in glomerular filtration rate",chronic renal insufficiency,end-stage kidney disease,renal system
34,C0023264,Leigh Disease,inherited metabolic disorder,"A group of metabolic disorders primarily of infancy characterized by the subacute onset of psychomotor retardation, hypotonia, ataxia, weakness, vision loss, eye movement abnormalities, seizures, dysphagia, and lactic acidosis. Pathological features include spongy degeneration of the neuropile of the basal ganglia, thalamus, brain stem, and spinal cord. Patterns of inheritance include X-linked recessive, autosomal recessive, and mitochondrial. Leigh disease has been associated with mutations in genes for the PYRUVATE DEHYDROGENASE COMPLEX; CYTOCHROME-C OXIDASE; ATP synthase subunit 6; and subunits of mitochondrial complex I. (From Menkes, Textbook of Child Neurology, 5th ed, p850).","psychomotor retardation, hypotonia, ataxia, weakness, vision loss, eye movement abnormalities, seizures, dysphagia, and lactic acidosis",mutations in genes for the PYRUVATE DEHYDROGENASE COMPLEX; CYTOCHROME-C OXIDASE; ATP synthase subunit 6; and subunits of mitochondrial complex I,metabolic disorder,nervous system
35,C0007570,Celiac Disease,immune system disease,"A malabsorption syndrome that is precipitated by the ingestion of foods containing GLUTEN, such as wheat, rye, and barley. It is characterized by INFLAMMATION of the SMALL INTESTINE, loss of MICROVILLI structure, failed INTESTINAL ABSORPTION, and MALNUTRITION.","Inflammation of the small intestine, loss of microvilli structure, failed intestinal absorption, malnutrition","Ingestion of foods containing gluten (wheat, rye, and barley)",Malabsorption syndrome,Digestive system
36,C0017601,Glaucoma,nervous system disease,"An ocular disease, occurring in many forms, having as its primary characteristics an unstable or a sustained increase in the intraocular pressure which the eye cannot withstand without damage to its structure or impairment of its function. The consequences of the increased pressure may be manifested in a variety of symptoms, depending upon type and severity, such as excavation of the optic disk, hardness of the eyeball, corneal anesthesia, reduced visual acuity, seeing of colored halos around lights, disturbed dark adaptation, visual field defects, and headaches. (Dictionary of Visual Science, 4th ed)",Increased intraocular pressure,"Age, family history, race (African, Hispanic, Asian), high eye pressure, thin cornea, diabetes, high blood pressure",Ocular disease,Visual system
37,C0022116,Ischemia,cardiovascular system disease,"A hypoperfusion of the BLOOD through an organ or tissue caused by a PATHOLOGIC CONSTRICTION or obstruction of its BLOOD VESSELS, or an absence of BLOOD CIRCULATION.",hypoperfusion,"pathologic constriction, obstruction of blood vessels, absence of blood circulation",vascular disease,circulatory system
38,C0032580,Adenomatous Polyposis Coli,monogenic disease,"A polyposis syndrome due to an autosomal dominant mutation of the APC genes (GENES, APC) on CHROMOSOME 5. The syndrome is characterized by the development of hundreds of ADENOMATOUS POLYPS in the COLON and RECTUM of affected individuals by early adulthood.",Development of hundreds of adenomatous polyps in the colon and rectum,Autosomal dominant mutation of the APC genes on chromosome 5,Polyposis syndrome,Colon and rectum
39,C0040128,Thyroid Diseases,endocrine system disease,Pathological processes involving the THYROID GLAND.,abnormal thyroid function,"family history, autoimmune disorders",endocrine disorder,endocrine system
40,C0030319,Panic Disorder,cognitive disorder,"A type of anxiety disorder characterized by unexpected panic attacks that last minutes or, rarely, hours. Panic attacks begin with intense apprehension, fear or terror and, often, a feeling of impending doom. Symptoms experienced during a panic attack include dyspnea or sensations of being smothered; dizziness, loss of balance or faintness; choking sensations; palpitations or accelerated heart rate; shakiness; sweating; nausea or other form of abdominal distress; depersonalization or derealization; paresthesias; hot flashes or chills; chest discomfort or pain; fear of dying and fear of not being in control of oneself or going crazy. Agoraphobia may also develop. Similar to other anxiety disorders, it may be inherited as an autosomal dominant trait.",unexpected panic attacks,may be inherited as an autosomal dominant trait,anxiety disorder,nervous system
41,C0001624,Adrenal Gland Neoplasms,cancer,Tumors or cancer of the ADRENAL GLANDS.,Tumors or cancer of the adrenal glands,Unknown,Neoplasms,Endocrine system
42,C0027819,Neuroblastoma,cancer,"A common neoplasm of early childhood arising from neural crest cells in the sympathetic nervous system, and characterized by diverse clinical behavior, ranging from spontaneous remission to rapid metastatic progression and death. This tumor is the most common intraabdominal malignancy of childhood, but it may also arise from thorax, neck, or rarely occur in the central nervous system. Histologic features include uniform round cells with hyperchromatic nuclei arranged in nests and separated by fibrovascular septa. Neuroblastomas may be associated with the opsoclonus-myoclonus syndrome. (From DeVita et al., Cancer: Principles and Practice of Oncology, 5th ed, pp2099-2101; Curr Opin Oncol 1998 Jan;10(1):43-51)","diverse clinical behavior, ranging from spontaneous remission to rapid metastatic progression and death",none specified,common neoplasm of early childhood,sympathetic nervous system
43,C0029422,Osteochondrodysplasias,musculoskeletal system disease,Abnormal development of cartilage and bone.,Abnormal development of cartilage and bone,"Genetic mutations, family history",Genetic disorders,Skeletal system
44,C0015625,Fanconi Anemia,immune system disease,"Congenital disorder affecting all bone marrow elements, resulting in ANEMIA; LEUKOPENIA; and THROMBOPENIA, and associated with cardiac, renal, and limb malformations as well as dermal pigmentary changes. Spontaneous CHROMOSOME BREAKAGE is a feature of this disease along with predisposition to LEUKEMIA. There are at least 7 complementation groups in Fanconi anemia: FANCA, FANCB, FANCC, FANCD1, FANCD2, FANCE, FANCF, FANCG, and FANCL. (from Online Mendelian Inheritance in Man, http://www.ncbi.nlm.nih.gov/entrez/dispomim.cgi?id=227650, August 20, 2004)","Anemia, leukopenia, thrombopenia","Spontaneous chromosome breakage, predisposition to leukemia",Congenital disorder,"Bone marrow, cardiac, renal, limb, dermal"
45,C0751778,"Myoclonic Epilepsies, Progressive",nervous system disease,"A heterogeneous group of primarily familial disorders characterized by myoclonic seizures, tonic-clonic seizures, ataxia, progressive intellectual deterioration, and neuronal degeneration. These include LAFORA DISEASE; MERRF SYNDROME; NEURONAL CEROID-LIPOFUSCINOSIS; sialidosis (see MUCOLIPIDOSES), and UNVERRICHT-LUNDBORG SYNDROME.","myoclonic seizures, tonic-clonic seizures, ataxia, progressive intellectual deterioration, neuronal degeneration",primarily familial,heterogeneous group of disorders,neuronal system
46,C0162666,Mitochondrial Encephalomyopathies,musculoskeletal system disease,"A heterogenous group of disorders characterized by alterations of mitochondrial metabolism that result in muscle and nervous system dysfunction. These are often multisystemic and vary considerably in age at onset (usually in the first or second decade of life), distribution of affected muscles, severity, and course. (From Adams et al., Principles of Neurology, 6th ed, pp984-5)",muscle and nervous system dysfunction,alterations of mitochondrial metabolism,Mitochondrial Encephalomyopathies,muscle and nervous system
47,C0019151,Hepatic Encephalopathy,nervous system disease,"A syndrome characterized by central nervous system dysfunction in association with LIVER FAILURE, including portal-systemic shunts. Clinical features include lethargy and CONFUSION (frequently progressing to COMA); ASTERIXIS; NYSTAGMUS, PATHOLOGIC; brisk oculovestibular reflexes; decorticate and decerebrate posturing; MUSCLE SPASTICITY; and bilateral extensor plantar reflexes (see REFLEX, BABINSKI). ELECTROENCEPHALOGRAPHY may demonstrate triphasic waves. (From Adams et al., Principles of Neurology, 6th ed, pp1117-20; Plum & Posner, Diagnosis of Stupor and Coma, 3rd ed, p222-5)","lethargy, confusion, coma","liver failure, portal-systemic shunts",central nervous system dysfunction,liver
48,C0026769,Multiple Sclerosis,nervous system disease,"An autoimmune disorder mainly affecting young adults and characterized by destruction of myelin in the central nervous system. Pathologic findings include multiple sharply demarcated areas of demyelination throughout the white matter of the central nervous system. Clinical manifestations include visual loss, extra-ocular movement disorders, paresthesias, loss of sensation, weakness, dysarthria, spasticity, ataxia, and bladder dysfunction. The usual pattern is one of recurrent attacks followed by partial recovery (see MULTIPLE SCLEROSIS, RELAPSING-REMITTING), but acute fulminating and chronic progressive forms (see MULTIPLE SCLEROSIS, CHRONIC PROGRESSIVE) also occur. (Adams et al., Principles of Neurology, 6th ed, p903)","Visual loss, extra-ocular movement disorders, paresthesias, loss of sensation, weakness, dysarthria, spasticity, ataxia, bladder dysfunction","Mainly affects young adults, autoimmune disorder",Autoimmune disorder,Central nervous system
49,C0024141,"Lupus Erythematosus, Systemic",musculoskeletal system disease,"A chronic, relapsing, inflammatory, and often febrile multisystemic disorder of connective tissue, characterized principally by involvement of the skin, joints, kidneys, and serosal membranes. It is of unknown etiology, but is thought to represent a failure of the regulatory mechanisms of the autoimmune system. The disease is marked by a wide range of system dysfunctions, an elevated erythrocyte sedimentation rate, and the formation of LE cells in the blood or bone marrow.","skin rash, joint pain, kidney involvement, serosal membrane involvement","unknown etiology, failure of regulatory mechanisms of the autoimmune system","chronic, relapsing, inflammatory, febrile, multisystemic disorder of connective tissue","skin, joints, kidneys, serosal membranes"
50,C0175702,Williams Syndrome,chromosomal disease,"A disorder caused by hemizygous microdeletion of about 28 genes on chromosome 7q11.23, including the ELASTIN gene. Clinical manifestations include SUPRAVALVULAR AORTIC STENOSIS; MENTAL RETARDATION; elfin facies; impaired visuospatial constructive abilities; and transient HYPERCALCEMIA in infancy. The condition affects both sexes, with onset at birth or in early infancy.","Supravalvular aortic stenosis, mental retardation, elfin facies, impaired visuospatial constructive abilities, transient hypercalcemia","Hemizygous microdeletion of about 28 genes on chromosome 7q11.23, including the ELASTIN gene",Genetic disorder,Cardiovascular and nervous system
51,C0241910,"Hepatitis, Autoimmune",immune system disease,"A chronic self-perpetuating hepatocellular INFLAMMATION of unknown cause, usually with HYPERGAMMAGLOBULINEMIA and serum AUTOANTIBODIES.",chronic hepatocellular inflammation,unknown cause,autoimmune,liver
52,C0033578,Prostatic Neoplasms,cancer,Tumors or cancer of the PROSTATE.,Difficulty urinating,"Age (especially over 50), family history, race (more common in African-American men)",Cancer,Urinary system
53,C0848558,Hypospadias,hypospadias,"A birth defect due to malformation of the URETHRA in which the urethral opening is below its normal location. In the male, the malformed urethra generally opens on the ventral surface of the PENIS or on the PERINEUM. In the female, the malformed urethral opening is in the VAGINA.",Malformation of the urethra with urethral opening below normal location,Not known,Congenital birth defect,Urinary/reproductive system
54,C0026764,Multiple Myeloma,cancer,"A malignancy of mature PLASMA CELLS engaging in monoclonal immunoglobulin production. It is characterized by hyperglobulinemia, excess Bence-Jones proteins (free monoclonal IMMUNOGLOBULIN LIGHT CHAINS) in the urine, skeletal destruction, bone pain, and fractures. Other features include ANEMIA; HYPERCALCEMIA; and RENAL INSUFFICIENCY.","bone pain, fractures",unknown,malignancy,"skeletal system, urinary system"
55,C0015695,Fatty Liver,inherited metabolic disorder,"Lipid infiltration of the hepatic parenchymal cells resulting in a yellow-colored liver. The abnormal lipid accumulation is usually in the form of TRIGLYCERIDES, either as a single large droplet or multiple small droplets. Fatty liver is caused by an imbalance in the metabolism of FATTY ACIDS.",yellow-colored liver,imbalance in the metabolism of FATTY ACIDS,Fatty Liver,hepatic parenchymal cells
56,C0023290,"Leishmaniasis, Visceral",parasitic infectious disease,"A chronic disease caused by LEISHMANIA DONOVANI and transmitted by the bite of several sandflies of the genera Phlebotomus and Lutzomyia. It is commonly characterized by fever, chills, vomiting, anemia, hepatosplenomegaly, leukopenia, hypergammaglobulinemia, emaciation, and an earth-gray color of the skin. The disease is classified into three main types according to geographic distribution: Indian, Mediterranean (or infantile), and African.","fever, chills, vomiting, anemia, hepatosplenomegaly, leukopenia, hypergammaglobulinemia, emaciation, earth-gray color of the skin",transmitted by the bite of sandflies,chronic,"immune system, liver, spleen, skin"
57,C0022521,Kartagener Syndrome,ciliopathy,"An autosomal recessive disorder characterized by a triad of DEXTROCARDIA; INFERTILITY; and SINUSITIS. The syndrome is caused by mutations of DYNEIN genes encoding motility proteins which are components of sperm tails, and CILIA in the respiratory and the reproductive tracts.","Dextrocardia, infertility, sinusitis",Autosomal recessive inheritance,Genetic disorder,Respiratory and reproductive tracts
58,C0005586,Bipolar Disorder,cognitive disorder,A major affective disorder marked by severe mood swings (manic or major depressive episodes) and a tendency to remission and recurrence.,severe mood swings (manic or major depressive episodes),"genetics, family history, high stress levels",major affective disorder,nervous system
59,C0004352,Autistic Disorder,developmental disorder of mental health,A disorder beginning in childhood. It is marked by the presence of markedly abnormal or impaired development in social interaction and communication and a markedly restricted repertoire of activity and interest. Manifestations of the disorder vary greatly depending on the developmental level and chronological age of the individual. (DSM-V),Markedly abnormal or impaired development in social interaction and communication,"Unknown, but likely a combination of genetic and environmental factors",Neurodevelopmental disorder,Nervous system
60,C0027404,Narcolepsy,sleep disorder,"A condition characterized by recurrent episodes of daytime somnolence and lapses in consciousness (microsomnias) that may be associated with automatic behaviors and AMNESIA. CATAPLEXY; SLEEP PARALYSIS, and hypnagogic HALLUCINATIONS frequently accompany narcolepsy. The pathophysiology of this disorder includes sleep-onset rapid eye movement (REM) sleep, which normally follows stage III or IV sleep. (From Neurology 1998 Feb;50(2 Suppl 1):S2-S7)","Daytime somnolence, lapses in consciousness, automatic behaviors, amnesia, cataplexy, sleep paralysis, hypnagogic hallucinations",,,
61,C0001418,Adenocarcinoma,cancer,A malignant epithelial tumor with a glandular organization.,None specific,"Smoking, obesity, older age",Cancer,Epithelial tissues
62,C0887833,"Carcinoma, Pancreatic Ductal",cancer,Carcinoma that arises from the PANCREATIC DUCTS. It accounts for the majority of cancers derived from the PANCREAS.,"None until advanced stages, then may include abdominal pain, weight loss, jaundice","Smoking, family history of pancreatic cancer, obesity, chronic pancreatitis",Cancer,Digestive system
63,C0740392,"Infarction, Middle Cerebral Artery",cardiovascular system disease,"NECROSIS occurring in the MIDDLE CEREBRAL ARTERY distribution system which brings blood to the entire lateral aspects of each CEREBRAL HEMISPHERE. Clinical signs include impaired cognition; APHASIA; AGRAPHIA; weak and numbness in the face and arms, contralaterally or bilaterally depending on the infarction.","impaired cognition, aphasia, agraphia, weakness and numbness in the face and arms",unknown,vascular disease,circulatory system
64,C0023343,Leprosy,bacterial infectious disease,"A chronic granulomatous infection caused by MYCOBACTERIUM LEPRAE. The granulomatous lesions are manifested in the skin, the mucous membranes, and the peripheral nerves. Two polar or principal types are lepromatous and tuberculoid.","Granulomatous lesions in the skin, mucous membranes, and peripheral nerves",Close and prolonged contact with untreated individuals,Chronic granulomatous infection,"Skin, mucous membranes, and peripheral nerves"
65,C0027051,Myocardial Infarction,cardiovascular system disease,NECROSIS of the MYOCARDIUM caused by an obstruction of the blood supply to the heart (CORONARY CIRCULATION).,Chest pain,"Smoking, high blood pressure, high cholesterol, diabetes",Cardiovascular disease,Cardiovascular system
66,C0018995,Hemochromatosis,inherited metabolic disorder,"A disorder of iron metabolism characterized by a triad of HEMOSIDEROSIS; LIVER CIRRHOSIS; and DIABETES MELLITUS. It is caused by massive iron deposits in parenchymal cells that may develop after a prolonged increase of iron absorption. (Jablonski's Dictionary of Syndromes & Eponymic Diseases, 2d ed)","Hemosiderosis, liver cirrhosis, diabetes mellitus",Prolonged increase of iron absorption,Iron metabolism disorder,Parenchymal cells
67,C0030354,Papilloma,benign neoplasm,"A circumscribed benign epithelial tumor projecting from the surrounding surface; more precisely, a benign epithelial neoplasm consisting of villous or arborescent outgrowths of fibrovascular stroma covered by neoplastic cells. (Stedman, 25th ed)",circumscribed benign epithelial tumor,,benign epithelial neoplasm,epithelial tissue
68,C0022658,Kidney Diseases,urinary system disease,Pathological processes of the KIDNEY or its component tissues.,"Decreased urine output, edema, fatigue","High blood pressure, diabetes, family history of kidney disease","Chronic kidney disease, acute kidney injury, kidney stones",Urinary system
