# Disease ID,Disease Name,Gene ID
C0027726,Nephrotic Syndrome,1277
C0027726,Nephrotic Syndrome,1282
C0027726,Nephrotic Syndrome,1284
C0027726,Nephrotic Syndrome,2
C0027726,Nephrotic Syndrome,213
C0027726,Nephrotic Syndrome,2152
C0027726,Nephrotic Syndrome,2247
C0027726,Nephrotic Syndrome,2262
C0027726,Nephrotic Syndrome,2981
C0027726,Nephrotic Syndrome,3123
C0027726,Nephrotic Syndrome,3291
C0027726,Nephrotic Syndrome,3558
C0027726,Nephrotic Syndrome,462
C0027726,Nephrotic Syndrome,4690
C0027726,Nephrotic Syndrome,5054
C0027726,Nephrotic Syndrome,6648
C0027726,Nephrotic Syndrome,7018
C0027726,Nephrotic Syndrome,7040
C0027726,Nephrotic Syndrome,7827
C0027726,Nephrotic Syndrome,8440
C0027726,Nephrotic Syndrome,914
C0236969,Substance-Related Disorders,1012
C0236969,Substance-Related Disorders,10160
C0236969,Substance-Related Disorders,10207
C0236969,Substance-Related Disorders,10257
C0236969,Substance-Related Disorders,105
C0236969,Substance-Related Disorders,1080
C0236969,Substance-Related Disorders,11278
C0236969,Substance-Related Disorders,1129
C0236969,Substance-Related Disorders,1138
C0236969,Substance-Related Disorders,114134
C0236969,Substance-Related Disorders,114786
C0236969,Substance-Related Disorders,114788
C0236969,Substance-Related Disorders,121601
C0236969,Substance-Related Disorders,1268
C0236969,Substance-Related Disorders,140683
C0236969,Substance-Related Disorders,140733
C0236969,Substance-Related Disorders,143098
C0236969,Substance-Related Disorders,143379
C0236969,Substance-Related Disorders,143458
C0236969,Substance-Related Disorders,143503
C0236969,Substance-Related Disorders,147685
C0236969,Substance-Related Disorders,1565
C0236969,Substance-Related Disorders,1653
C0236969,Substance-Related Disorders,167465
C0236969,Substance-Related Disorders,1769
C0236969,Substance-Related Disorders,1793
C0236969,Substance-Related Disorders,1813
C0236969,Substance-Related Disorders,1826
C0236969,Substance-Related Disorders,1962
C0236969,Substance-Related Disorders,2120
C0236969,Substance-Related Disorders,2166
C0236969,Substance-Related Disorders,2272
C0236969,Substance-Related Disorders,22925
C0236969,Substance-Related Disorders,22998
C0236969,Substance-Related Disorders,23034
C0236969,Substance-Related Disorders,23214
C0236969,Substance-Related Disorders,23307
C0236969,Substance-Related Disorders,23345
C0236969,Substance-Related Disorders,253782
C0236969,Substance-Related Disorders,25807
C0236969,Substance-Related Disorders,259217
C0236969,Substance-Related Disorders,26230
C0236969,Substance-Related Disorders,27146
C0236969,Substance-Related Disorders,2893
C0236969,Substance-Related Disorders,2898
C0236969,Substance-Related Disorders,29119
C0236969,Substance-Related Disorders,29126
C0236969,Substance-Related Disorders,2915
C0236969,Substance-Related Disorders,2917
C0236969,Substance-Related Disorders,29922
C0236969,Substance-Related Disorders,344805
C0236969,Substance-Related Disorders,3643
C0236969,Substance-Related Disorders,3899
C0236969,Substance-Related Disorders,3983
C0236969,Substance-Related Disorders,401207
C0236969,Substance-Related Disorders,4482
C0236969,Substance-Related Disorders,4646
C0236969,Substance-Related Disorders,481
C0236969,Substance-Related Disorders,4852
C0236969,Substance-Related Disorders,4897
C0236969,Substance-Related Disorders,4985
C0236969,Substance-Related Disorders,5087
C0236969,Substance-Related Disorders,51082
C0236969,Substance-Related Disorders,51151
C0236969,Substance-Related Disorders,5137
C0236969,Substance-Related Disorders,51660
C0236969,Substance-Related Disorders,5366
C0236969,Substance-Related Disorders,54927
C0236969,Substance-Related Disorders,55198
C0236969,Substance-Related Disorders,55297
C0236969,Substance-Related Disorders,55690
C0236969,Substance-Related Disorders,55691
C0236969,Substance-Related Disorders,55717
C0236969,Substance-Related Disorders,55742
C0236969,Substance-Related Disorders,5581
C0236969,Substance-Related Disorders,5583
C0236969,Substance-Related Disorders,55930
C0236969,Substance-Related Disorders,57451
C0236969,Substance-Related Disorders,5768
C0236969,Substance-Related Disorders,57733
C0236969,Substance-Related Disorders,5890
C0236969,Substance-Related Disorders,64131
C0236969,Substance-Related Disorders,64478
C0236969,Substance-Related Disorders,64866
C0236969,Substance-Related Disorders,65217
C0236969,Substance-Related Disorders,6532
C0236969,Substance-Related Disorders,6555
C0236969,Substance-Related Disorders,6581
C0236969,Substance-Related Disorders,7260
C0236969,Substance-Related Disorders,79632
C0236969,Substance-Related Disorders,79750
C0236969,Substance-Related Disorders,79809
C0236969,Substance-Related Disorders,79875
C0236969,Substance-Related Disorders,80031
C0236969,Substance-Related Disorders,80034
C0236969,Substance-Related Disorders,80095
C0236969,Substance-Related Disorders,80206
C0236969,Substance-Related Disorders,8048
C0236969,Substance-Related Disorders,81035
C0236969,Substance-Related Disorders,83938
C0236969,Substance-Related Disorders,8412
C0236969,Substance-Related Disorders,84247
C0236969,Substance-Related Disorders,84668
C0236969,Substance-Related Disorders,84871
C0236969,Substance-Related Disorders,8569
C0236969,Substance-Related Disorders,9128
C0236969,Substance-Related Disorders,91752
C0236969,Substance-Related Disorders,9271
C0236969,Substance-Related Disorders,93664
C0236969,Substance-Related Disorders,9369
C0236969,Substance-Related Disorders,9465
C0236969,Substance-Related Disorders,9547
C0236969,Substance-Related Disorders,9557
C0236969,Substance-Related Disorders,9748
C0002878,"Anemia, Hemolytic",2056
C0002878,"Anemia, Hemolytic",2539
C0002878,"Anemia, Hemolytic",2729
C0002878,"Anemia, Hemolytic",2821
C0002878,"Anemia, Hemolytic",2936
C0002878,"Anemia, Hemolytic",3043
C0002878,"Anemia, Hemolytic",3162
C0002878,"Anemia, Hemolytic",3440
C0002878,"Anemia, Hemolytic",3704
C0002878,"Anemia, Hemolytic",6521
C0002878,"Anemia, Hemolytic",6710
C0002878,"Anemia, Hemolytic",7167
C0003872,"Arthritis, Psoriatic",10758
C0003872,"Arthritis, Psoriatic",3107
C0003872,"Arthritis, Psoriatic",3576
C0003872,"Arthritis, Psoriatic",3593
C0003872,"Arthritis, Psoriatic",400957
C0003872,"Arthritis, Psoriatic",4049
C0003872,"Arthritis, Psoriatic",4210
C0003872,"Arthritis, Psoriatic",4843
C0003872,"Arthritis, Psoriatic",4929
C0003872,"Arthritis, Psoriatic",54620
C0003872,"Arthritis, Psoriatic",5966
C0003872,"Arthritis, Psoriatic",64127
C0003872,"Arthritis, Psoriatic",643749
C0003872,"Arthritis, Psoriatic",652
C0003872,"Arthritis, Psoriatic",7124
C0003872,"Arthritis, Psoriatic",860
C0003872,"Arthritis, Psoriatic",968
C0002871,Anemia,10533
C0002871,Anemia,113235
C0002871,Anemia,142
C0002871,Anemia,1437
C0002871,Anemia,1440
C0002871,Anemia,183
C0002871,Anemia,2056
C0002871,Anemia,2936
C0002871,Anemia,30061
C0002871,Anemia,3240
C0002871,Anemia,3440
C0002871,Anemia,3481
C0002871,Anemia,3558
C0002871,Anemia,3562
C0002871,Anemia,374569
C0002871,Anemia,4524
C0002871,Anemia,51312
C0002871,Anemia,538
C0002871,Anemia,5617
C0002871,Anemia,5741
C0002871,Anemia,57817
C0002871,Anemia,5972
C0002871,Anemia,6648
C0002871,Anemia,7124
C0002871,Anemia,7298
C0002871,Anemia,8797
C0002871,Anemia,9474
C0206698,Cholangiocarcinoma,10232
C0206698,Cholangiocarcinoma,1956
C0206698,Cholangiocarcinoma,2064
C0206698,Cholangiocarcinoma,2263
C0206698,Cholangiocarcinoma,2778
C0206698,Cholangiocarcinoma,3417
C0206698,Cholangiocarcinoma,3418
C0206698,Cholangiocarcinoma,3569
C0206698,Cholangiocarcinoma,3845
C0206698,Cholangiocarcinoma,4089
C0206698,Cholangiocarcinoma,4843
C0206698,Cholangiocarcinoma,5178
C0206698,Cholangiocarcinoma,54894
C0206698,Cholangiocarcinoma,55193
C0206698,Cholangiocarcinoma,5566
C0206698,Cholangiocarcinoma,5567
C0206698,Cholangiocarcinoma,5743
C0206698,Cholangiocarcinoma,5774
C0206698,Cholangiocarcinoma,58508
C0206698,Cholangiocarcinoma,6092
C0206698,Cholangiocarcinoma,6528
C0206698,Cholangiocarcinoma,7157
C0206698,Cholangiocarcinoma,8289
C0206698,Cholangiocarcinoma,8314
C0206754,Neuroendocrine Tumors,1027
C0206754,Neuroendocrine Tumors,1616
C0206754,Neuroendocrine Tumors,4221
C0206754,Neuroendocrine Tumors,546
C0206754,Neuroendocrine Tumors,5744
C0206754,Neuroendocrine Tumors,673
C0206754,Neuroendocrine Tumors,6751
C0206754,Neuroendocrine Tumors,6752
C0206754,Neuroendocrine Tumors,6753
C0206754,Neuroendocrine Tumors,7298
C0024530,Malaria,1012
C0024530,Malaria,114609
C0024530,Malaria,1154
C0024530,Malaria,1378
C0024530,Malaria,1401
C0024530,Malaria,2213
C0024530,Malaria,2532
C0024530,Malaria,256892
C0024530,Malaria,259197
C0024530,Malaria,28
C0024530,Malaria,2993
C0024530,Malaria,2995
C0024530,Malaria,3240
C0024530,Malaria,3383
C0024530,Malaria,4055
C0024530,Malaria,4843
C0024530,Malaria,493
C0024530,Malaria,6521
C0024530,Malaria,7124
C0024530,Malaria,91752
C0024530,Malaria,948
C0598608,Hyperhomocysteinemia,113235
C0598608,Hyperhomocysteinemia,1674
C0598608,Hyperhomocysteinemia,27232
C0598608,Hyperhomocysteinemia,29108
C0598608,Hyperhomocysteinemia,4524
C0598608,Hyperhomocysteinemia,4552
C0598608,Hyperhomocysteinemia,4868
C0598608,Hyperhomocysteinemia,5444
C0598608,Hyperhomocysteinemia,7124
C0598608,Hyperhomocysteinemia,834
C0598608,Hyperhomocysteinemia,875
C0019693,Hiv Infections,10189
C0019693,Hiv Infections,10197
C0019693,Hiv Infections,10204
C0019693,Hiv Infections,1026
C0019693,Hiv Infections,10280
C0019693,Hiv Infections,10436
C0019693,Hiv Infections,10527
C0019693,Hiv Infections,10574
C0019693,Hiv Infections,10594
C0019693,Hiv Infections,10808
C0019693,Hiv Infections,10946
C0019693,Hiv Infections,10980
C0019693,Hiv Infections,10981
C0019693,Hiv Infections,1192
C0019693,Hiv Infections,1232
C0019693,Hiv Infections,1524
C0019693,Hiv Infections,1647
C0019693,Hiv Infections,1973
C0019693,Hiv Infections,1978
C0019693,Hiv Infections,213
C0019693,Hiv Infections,2208
C0019693,Hiv Infections,22948
C0019693,Hiv Infections,23198
C0019693,Hiv Infections,23411
C0019693,Hiv Infections,2971
C0019693,Hiv Infections,3068
C0019693,Hiv Infections,30835
C0019693,Hiv Infections,3106
C0019693,Hiv Infections,3107
C0019693,Hiv Infections,3240
C0019693,Hiv Infections,329
C0019693,Hiv Infections,330
C0019693,Hiv Infections,3313
C0019693,Hiv Infections,3315
C0019693,Hiv Infections,3320
C0019693,Hiv Infections,3326
C0019693,Hiv Infections,3329
C0019693,Hiv Infections,335
C0019693,Hiv Infections,3458
C0019693,Hiv Infections,3558
C0019693,Hiv Infections,3559
C0019693,Hiv Infections,3566
C0019693,Hiv Infections,3577
C0019693,Hiv Infections,3586
C0019693,Hiv Infections,3608
C0019693,Hiv Infections,3692
C0019693,Hiv Infections,3811
C0019693,Hiv Infections,3837
C0019693,Hiv Infections,393
C0019693,Hiv Infections,396
C0019693,Hiv Infections,397
C0019693,Hiv Infections,4067
C0019693,Hiv Infections,4150
C0019693,Hiv Infections,4153
C0019693,Hiv Infections,4193
C0019693,Hiv Infections,4927
C0019693,Hiv Infections,4953
C0019693,Hiv Infections,5265
C0019693,Hiv Infections,5479
C0019693,Hiv Infections,5685
C0019693,Hiv Infections,5686
C0019693,Hiv Infections,5687
C0019693,Hiv Infections,5692
C0019693,Hiv Infections,5699
C0019693,Hiv Infections,5702
C0019693,Hiv Infections,5705
C0019693,Hiv Infections,5709
C0019693,Hiv Infections,5714
C0019693,Hiv Infections,5719
C0019693,Hiv Infections,5720
C0019693,Hiv Infections,5721
C0019693,Hiv Infections,5727
C0019693,Hiv Infections,581
C0019693,Hiv Infections,5901
C0019693,Hiv Infections,5902
C0019693,Hiv Infections,6347
C0019693,Hiv Infections,6348
C0019693,Hiv Infections,6356
C0019693,Hiv Infections,6387
C0019693,Hiv Infections,6421
C0019693,Hiv Infections,6426
C0019693,Hiv Infections,64411
C0019693,Hiv Infections,6556
C0019693,Hiv Infections,6634
C0019693,Hiv Infections,6722
C0019693,Hiv Infections,6880
C0019693,Hiv Infections,7203
C0019693,Hiv Infections,7266
C0019693,Hiv Infections,7307
C0019693,Hiv Infections,7528
C0019693,Hiv Infections,80273
C0019693,Hiv Infections,85363
C0019693,Hiv Infections,8662
C0019693,Hiv Infections,8683
C0019693,Hiv Infections,9230
C0019693,Hiv Infections,940
C0019693,Hiv Infections,9531
C0019693,Hiv Infections,9861
C0019693,Hiv Infections,998
C0027658,"Neoplasms, Germ Cell And Embryonal",1761
C0027658,"Neoplasms, Germ Cell And Embryonal",1911
C0027658,"Neoplasms, Germ Cell And Embryonal",2067
C0027658,"Neoplasms, Germ Cell And Embryonal",2072
C0027658,"Neoplasms, Germ Cell And Embryonal",359787
C0027658,"Neoplasms, Germ Cell And Embryonal",4254
C0027658,"Neoplasms, Germ Cell And Embryonal",5460
C0027658,"Neoplasms, Germ Cell And Embryonal",55729
C0027658,"Neoplasms, Germ Cell And Embryonal",6337
C0027658,"Neoplasms, Germ Cell And Embryonal",6515
C0027658,"Neoplasms, Germ Cell And Embryonal",79923
C0027658,"Neoplasms, Germ Cell And Embryonal",928
C0027658,"Neoplasms, Germ Cell And Embryonal",9573
C0002171,Alopecia Areata,1493
C0002171,Alopecia Areata,154064
C0002171,Alopecia Areata,25824
C0002171,Alopecia Areata,2833
C0002171,Alopecia Areata,3559
C0002171,Alopecia Areata,3627
C0002171,Alopecia Areata,4283
C0002171,Alopecia Areata,55014
C0002171,Alopecia Areata,64375
C0002171,Alopecia Areata,79465
C0002170,Alopecia,1244
C0002170,Alopecia,1392
C0002170,Alopecia,142
C0002170,Alopecia,23328
C0002170,Alopecia,23476
C0002170,Alopecia,367
C0002170,Alopecia,4524
C0002170,Alopecia,54503
C0002170,Alopecia,55806
C0002170,Alopecia,6716
C0002170,Alopecia,6832
C0002170,Alopecia,7421
C0002170,Alopecia,7538
C0002170,Alopecia,8797
C0009447,Common Variable Immunodeficiency,115650
C0009447,Common Variable Immunodeficiency,1380
C0009447,Common Variable Immunodeficiency,23495
C0009447,Common Variable Immunodeficiency,29851
C0009447,Common Variable Immunodeficiency,4790
C0009447,Common Variable Immunodeficiency,4791
C0009447,Common Variable Immunodeficiency,5580
C0009447,Common Variable Immunodeficiency,8742
C0009447,Common Variable Immunodeficiency,930
C0009447,Common Variable Immunodeficiency,931
C0009447,Common Variable Immunodeficiency,975
C0009447,Common Variable Immunodeficiency,987
C0017658,Glomerulonephritis,133
C0017658,Glomerulonephritis,1674
C0017658,Glomerulonephritis,1675
C0017658,Glomerulonephritis,183
C0017658,Glomerulonephritis,2099
C0017658,Glomerulonephritis,213
C0017658,Glomerulonephritis,2833
C0017658,Glomerulonephritis,3458
C0017658,Glomerulonephritis,3553
C0017658,Glomerulonephritis,3558
C0017658,Glomerulonephritis,3559
C0017658,Glomerulonephritis,3569
C0017658,Glomerulonephritis,3576
C0017658,Glomerulonephritis,3586
C0017658,Glomerulonephritis,3606
C0017658,Glomerulonephritis,3727
C0017658,Glomerulonephritis,406892
C0017658,Glomerulonephritis,406903
C0017658,Glomerulonephritis,4803
C0017658,Glomerulonephritis,4868
C0017658,Glomerulonephritis,5443
C0017658,Glomerulonephritis,5468
C0017658,Glomerulonephritis,6346
C0017658,Glomerulonephritis,6347
C0017658,Glomerulonephritis,6348
C0017658,Glomerulonephritis,6351
C0017658,Glomerulonephritis,6352
C0017658,Glomerulonephritis,6354
C0017658,Glomerulonephritis,7124
C0017658,Glomerulonephritis,7490
C0035258,Restless Legs Syndrome,114781
C0035258,Restless Legs Syndrome,4211
C0035258,Restless Legs Syndrome,5443
C0035258,Restless Legs Syndrome,5607
C0035258,Restless Legs Syndrome,5789
C0035258,Restless Legs Syndrome,643714
C0035258,Restless Legs Syndrome,7018
C0018671,Head And Neck Neoplasms,1050
C0018671,Head And Neck Neoplasms,1440
C0018671,Head And Neck Neoplasms,1806
C0018671,Head And Neck Neoplasms,1956
C0018671,Head And Neck Neoplasms,2195
C0018671,Head And Neck Neoplasms,23532
C0018671,Head And Neck Neoplasms,2876
C0018671,Head And Neck Neoplasms,2922
C0018671,Head And Neck Neoplasms,374
C0018671,Head And Neck Neoplasms,4118
C0018671,Head And Neck Neoplasms,5594
C0018671,Head And Neck Neoplasms,5595
C0018671,Head And Neck Neoplasms,5888
C0018671,Head And Neck Neoplasms,5915
C0018671,Head And Neck Neoplasms,596
C0018671,Head And Neck Neoplasms,598
C0018671,Head And Neck Neoplasms,6778
C0018671,Head And Neck Neoplasms,7039
C0018671,Head And Neck Neoplasms,7298
C0018671,Head And Neck Neoplasms,7389
C0018671,Head And Neck Neoplasms,7422
C0018671,Head And Neck Neoplasms,7517
C0018671,Head And Neck Neoplasms,9582
C0006118,Brain Neoplasms,1019
C0006118,Brain Neoplasms,1029
C0006118,Brain Neoplasms,113878
C0006118,Brain Neoplasms,1559
C0006118,Brain Neoplasms,1612
C0006118,Brain Neoplasms,23411
C0006118,Brain Neoplasms,238
C0006118,Brain Neoplasms,27436
C0006118,Brain Neoplasms,28514
C0006118,Brain Neoplasms,3558
C0006118,Brain Neoplasms,388585
C0006118,Brain Neoplasms,4255
C0006118,Brain Neoplasms,441478
C0006118,Brain Neoplasms,5111
C0006118,Brain Neoplasms,5444
C0006118,Brain Neoplasms,5727
C0006118,Brain Neoplasms,595
C0006118,Brain Neoplasms,5970
C0006118,Brain Neoplasms,6608
C0006118,Brain Neoplasms,6648
C0006118,Brain Neoplasms,6696
C0006118,Brain Neoplasms,7052
C0006118,Brain Neoplasms,7422
C0034951,Refractive Errors,1146
C0034951,Refractive Errors,2893
C0034951,Refractive Errors,317761
C0034951,Refractive Errors,388336
C0034951,Refractive Errors,3908
C0034951,Refractive Errors,4642
C0034951,Refractive Errors,5095
C0034951,Refractive Errors,54715
C0034951,Refractive Errors,55748
C0034951,Refractive Errors,56479
C0034951,Refractive Errors,57369
C0034951,Refractive Errors,5801
C0034951,Refractive Errors,5923
C0034951,Refractive Errors,6096
C0034951,Refractive Errors,70
C0034951,Refractive Errors,776
C0034951,Refractive Errors,79698
C0034951,Refractive Errors,9414
C0019196,Hepatitis C,1234
C0019196,Hepatitis C,1548
C0019196,Hepatitis C,1576
C0019196,Hepatitis C,23586
C0019196,Hepatitis C,282617
C0019196,Hepatitis C,3077
C0019196,Hepatitis C,3440
C0019196,Hepatitis C,3458
C0019196,Hepatitis C,4015
C0019196,Hepatitis C,4017
C0019196,Hepatitis C,4023
C0019196,Hepatitis C,4988
C0019196,Hepatitis C,5788
C0019196,Hepatitis C,949
C0019196,Hepatitis C,975
C0025500,Mesothelioma,10232
C0025500,Mesothelioma,1027
C0025500,Mesothelioma,1029
C0025500,Mesothelioma,11186
C0025500,Mesothelioma,1734
C0025500,Mesothelioma,1956
C0025500,Mesothelioma,1958
C0025500,Mesothelioma,2099
C0025500,Mesothelioma,2246
C0025500,Mesothelioma,2247
C0025500,Mesothelioma,2272
C0025500,Mesothelioma,22827
C0025500,Mesothelioma,23741
C0025500,Mesothelioma,2475
C0025500,Mesothelioma,2662
C0025500,Mesothelioma,2719
C0025500,Mesothelioma,2934
C0025500,Mesothelioma,2944
C0025500,Mesothelioma,324
C0025500,Mesothelioma,3458
C0025500,Mesothelioma,4582
C0025500,Mesothelioma,4771
C0025500,Mesothelioma,4831
C0025500,Mesothelioma,5154
C0025500,Mesothelioma,5241
C0025500,Mesothelioma,54716
C0025500,Mesothelioma,55600
C0025500,Mesothelioma,56034
C0025500,Mesothelioma,6648
C0025500,Mesothelioma,6696
C0025500,Mesothelioma,6850
C0025500,Mesothelioma,7296
C0025500,Mesothelioma,7490
C0025500,Mesothelioma,7515
C0025500,Mesothelioma,7517
C0025500,Mesothelioma,8314
C0025500,Mesothelioma,847
C0025500,Mesothelioma,84700
C0025500,Mesothelioma,8915
C0025500,Mesothelioma,94274
C0025500,Mesothelioma,999
C0162809,Kallmann Syndrome,10371
C0162809,Kallmann Syndrome,128674
C0162809,Kallmann Syndrome,1848
C0162809,Kallmann Syndrome,2253
C0162809,Kallmann Syndrome,2260
C0162809,Kallmann Syndrome,23767
C0162809,Kallmann Syndrome,26012
C0162809,Kallmann Syndrome,3730
C0162809,Kallmann Syndrome,389549
C0162809,Kallmann Syndrome,54756
C0162809,Kallmann Syndrome,55636
C0162809,Kallmann Syndrome,55717
C0162809,Kallmann Syndrome,60675
C0162809,Kallmann Syndrome,6663
C0162809,Kallmann Syndrome,6870
C0162809,Kallmann Syndrome,81848
C0162809,Kallmann Syndrome,84634
C0162809,Kallmann Syndrome,8820
C0162809,Kallmann Syndrome,8822
C0162809,Kallmann Syndrome,9394
C0011849,Diabetes Mellitus,1356
C0011849,Diabetes Mellitus,1374
C0011849,Diabetes Mellitus,153
C0011849,Diabetes Mellitus,1536
C0011849,Diabetes Mellitus,2335
C0011849,Diabetes Mellitus,23411
C0011849,Diabetes Mellitus,23671
C0011849,Diabetes Mellitus,346171
C0011849,Diabetes Mellitus,3630
C0011849,Diabetes Mellitus,3667
C0011849,Diabetes Mellitus,3799
C0011849,Diabetes Mellitus,3953
C0011849,Diabetes Mellitus,4217
C0011849,Diabetes Mellitus,4508
C0011849,Diabetes Mellitus,5443
C0011849,Diabetes Mellitus,5444
C0011849,Diabetes Mellitus,5468
C0011849,Diabetes Mellitus,547
C0011849,Diabetes Mellitus,5743
C0011849,Diabetes Mellitus,5879
C0011849,Diabetes Mellitus,653361
C0011849,Diabetes Mellitus,6647
C0011849,Diabetes Mellitus,7058
C0011849,Diabetes Mellitus,847
C0011849,Diabetes Mellitus,8639
C0011849,Diabetes Mellitus,8856
C0011849,Diabetes Mellitus,9370
C0011849,Diabetes Mellitus,9970
C0025958,Microcephaly,10059
C0025958,Microcephaly,10084
C0025958,Microcephaly,10293
C0025958,Microcephaly,10617
C0025958,Microcephaly,10733
C0025958,Microcephaly,11284
C0025958,Microcephaly,1778
C0025958,Microcephaly,2074
C0025958,Microcephaly,2290
C0025958,Microcephaly,26128
C0025958,Microcephaly,283989
C0025958,Microcephaly,284403
C0025958,Microcephaly,3796
C0025958,Microcephaly,3800
C0025958,Microcephaly,407975
C0025958,Microcephaly,4998
C0025958,Microcephaly,6513
C0025958,Microcephaly,6925
C0025958,Microcephaly,701
C0025958,Microcephaly,7283
C0025958,Microcephaly,79042
C0025958,Microcephaly,80254
C0025958,Microcephaly,80746
C0025958,Microcephaly,84879
C0025958,Microcephaly,8573
C0027720,Nephrosis,10763
C0027720,Nephrosis,10855
C0027720,Nephrosis,1649
C0027720,Nephrosis,1674
C0027720,Nephrosis,183
C0027720,Nephrosis,1906
C0027720,Nephrosis,1910
C0027720,Nephrosis,213
C0027720,Nephrosis,2147
C0027720,Nephrosis,3383
C0027720,Nephrosis,3689
C0027720,Nephrosis,5972
C0027720,Nephrosis,6647
C0027720,Nephrosis,7431
C0027720,Nephrosis,7827
C0007273,Carotid Artery Diseases,183
C0007273,Carotid Artery Diseases,22808
C0007273,Carotid Artery Diseases,2950
C0007273,Carotid Artery Diseases,3162
C0007273,Carotid Artery Diseases,348
C0007273,Carotid Artery Diseases,356
C0007273,Carotid Artery Diseases,5328
C0007273,Carotid Artery Diseases,5420
C0007273,Carotid Artery Diseases,6347
C0007273,Carotid Artery Diseases,7157
C0007273,Carotid Artery Diseases,9332
C0014556,"Epilepsy, Temporal Lobe",1268
C0014556,"Epilepsy, Temporal Lobe",2911
C0014556,"Epilepsy, Temporal Lobe",2912
C0014556,"Epilepsy, Temporal Lobe",2913
C0014556,"Epilepsy, Temporal Lobe",2914
C0014556,"Epilepsy, Temporal Lobe",2915
C0014556,"Epilepsy, Temporal Lobe",3749
C0014556,"Epilepsy, Temporal Lobe",3791
C0014556,"Epilepsy, Temporal Lobe",4514
C0014556,"Epilepsy, Temporal Lobe",4852
C0014556,"Epilepsy, Temporal Lobe",4887
C0014556,"Epilepsy, Temporal Lobe",5025
C0014556,"Epilepsy, Temporal Lobe",5027
C0014556,"Epilepsy, Temporal Lobe",57468
C0014556,"Epilepsy, Temporal Lobe",623
C0014556,"Epilepsy, Temporal Lobe",624
C0014556,"Epilepsy, Temporal Lobe",6505
C0014556,"Epilepsy, Temporal Lobe",6558
C0014556,"Epilepsy, Temporal Lobe",7010
C0014556,"Epilepsy, Temporal Lobe",7421
C0014556,"Epilepsy, Temporal Lobe",7422
C0014556,"Epilepsy, Temporal Lobe",7442
C0014556,"Epilepsy, Temporal Lobe",9353
C0018099,Gout,126133
C0018099,Gout,2263
C0018099,Gout,22900
C0018099,Gout,254263
C0018099,Gout,2646
C0018099,Gout,3553
C0018099,Gout,4296
C0018099,Gout,56606
C0018099,Gout,929
C0018099,Gout,9429
C0917796,"Optic Atrophy, Hereditary, Leber",3552
C0917796,"Optic Atrophy, Hereditary, Leber",3553
C0917796,"Optic Atrophy, Hereditary, Leber",4508
C0917796,"Optic Atrophy, Hereditary, Leber",4514
C0917796,"Optic Atrophy, Hereditary, Leber",4519
